month,prod,wip,lot_size,move_qty,move_time,load_dist,oht_count,storage_prod,storage_npw
2020-01,110457,29807,24.6,315.3,157.3,18797,55,14806,5070
2020-02,111140,30872,24.9,320.1,159.6,19233,55,14744,5437
2020-03,115989,31336,24.9,322.0,166.6,20233,55,15194,5010
2020-04,117510,32495,24.8,321.9,154.8,18439,55,15176,4994
2020-05,113337,32742,24.9,310.9,163.3,19525,55,15250,5094
2020-06,113546,29720,25.4,307.2,163.2,19113,55,13396,5187
2020-07,114391,32550,24.7,341.4,163.0,19238,55,16253,5346
2020-08,112425,31764,25.3,304.7,166.1,20302,55,14053,5260
2020-09,112110,30677,24.5,327.0,164.8,19930,55,14957,5378
2020-10,111020,29350,24.9,305.1,166.0,20570,55,13441,5167
2020-11,114854,32245,25.0,329.1,159.2,19376,55,15940,5337
2020-12,116866,32087,25.2,327.8,161.2,18943,55,15628,5680
2021-01,118499,33458,25.2,327.9,161.3,19321,55,16816,5174
2021-02,122790,34407,25.2,340.7,172.9,19694,55,17007,4936
2021-03,123965,36632,24.9,342.8,170.7,19641,55,16982,5677
2021-04,123211,34211,24.9,350.2,161.7,18632,55,16729,5335
2021-05,125217,33832,25.3,342.5,161.0,19572,55,15818,5375
2021-06,122461,34504,24.9,333.7,159.5,19683,55,16272,5532
2021-07,123917,34960,24.6,341.3,178.1,21514,55,17679,5022
2021-08,121225,35574,24.7,345.0,172.2,21001,55,17626,5127
2021-09,120258,34674,24.7,354.3,163.4,18817,55,16735,5146
2021-10,119678,33938,25.1,335.1,155.1,19270,55,15784,5125
2021-11,123769,36411,25.0,345.5,162.1,18329,55,17742,5470
2021-12,123868,33256,25.2,346.5,163.6,19027,55,15604,5497
2022-01,126157,34556,24.9,366.2,160.9,19752,58,16528,5634
2022-02,128971,34999,25.0,363.1,166.6,20465,58,17167,5267
2022-03,132462,36621,25.2,364.2,162.2,18917,58,18403,5098
2022-04,133448,35713,24.9,385.5,163.3,18977,58,18175,5773
2022-05,133683,38193,25.1,376.8,155.5,17782,58,17750,5585
2022-06,132946,36958,24.8,389.7,164.9,19370,58,18748,5894
2022-07,134212,35814,24.9,379.0,160.0,18650,58,17806,5841
2022-08,129090,34926,24.9,351.8,161.6,19076,58,16939,5470
2022-09,128167,36262,24.6,352.2,165.6,18799,58,18189,5598
2022-10,127879,36811,25.1,371.4,153.9,19425,58,17053,5674
2022-11,131259,39148,24.9,384.9,157.9,18094,58,19279,5863
2022-12,134193,41070,25.0,374.1,159.8,18326,58,20544,5513
2023-01,135029,38305,25.1,373.0,174.0,21203,58,18067,5608
2023-02,136639,37071,25.1,395.0,160.0,18470,58,19522,5892
2023-03,138827,36313,25.2,375.0,153.6,18623,58,18108,5827
2023-04,142275,40158,25.0,389.5,174.3,20970,58,20624,5722
2023-05,142578,38946,24.9,407.3,185.5,21824,58,19773,6074
2023-06,141514,39125,25.0,392.3,155.6,18563,58,20161,5774
2023-07,138401,38017,24.5,395.4,168.5,19205,58,19807,5833
2023-08,138448,38596,24.6,392.3,166.2,19773,58,19603,5993
2023-09,137510,39781,24.6,394.6,172.8,20883,58,20263,5450
2023-10,137828,38780,24.7,404.3,159.2,18711,58,20028,5682
2023-11,140043,39021,25.1,391.4,163.8,19304,58,19246,5522
2023-12,141235,38303,24.7,406.7,175.6,20122,58,19638,5497
2024-01,144618,38483,24.9,385.7,169.7,19848,58,19186,5628
2024-02,146401,40408,25.4,403.0,172.6,19199,58,20884,6078
2024-03,148897,41626,24.9,409.8,171.8,19393,58,22010,5936
2024-04,150646,44302,25.2,405.7,163.8,18400,58,22239,5994
